,eegnet sujeito 1 kappa,eegnet sujeito 1 acc,eegnet sujeito 1 loss,eegnet sujeito 2 kappa,eegnet sujeito 2 acc,eegnet sujeito 2 loss,eegnet sujeito 3 kappa,eegnet sujeito 3 acc,eegnet sujeito 3 loss,eegnet sujeito 4 kappa,eegnet sujeito 4 acc,eegnet sujeito 4 loss,eegnet sujeito 5 kappa,eegnet sujeito 5 acc,eegnet sujeito 5 loss,eegnet sujeito 6 kappa,eegnet sujeito 6 acc,eegnet sujeito 6 loss,eegnet sujeito 7 kappa,eegnet sujeito 7 acc,eegnet sujeito 7 loss,eegnet sujeito 8 kappa,eegnet sujeito 8 acc,eegnet sujeito 8 loss,eegnet sujeito 9 kappa,eegnet sujeito 9 acc,eegnet sujeito 9 loss,eegnet + temporal sujeito 1 kappa,eegnet + temporal sujeito 1 acc,eegnet + temporal sujeito 1 loss,eegnet + temporal sujeito 2 kappa,eegnet + temporal sujeito 2 acc,eegnet + temporal sujeito 2 loss,eegnet + temporal sujeito 3 kappa,eegnet + temporal sujeito 3 acc,eegnet + temporal sujeito 3 loss,eegnet + temporal sujeito 4 kappa,eegnet + temporal sujeito 4 acc,eegnet + temporal sujeito 4 loss,eegnet + temporal sujeito 5 kappa,eegnet + temporal sujeito 5 acc,eegnet + temporal sujeito 5 loss,eegnet + temporal sujeito 6 kappa,eegnet + temporal sujeito 6 acc,eegnet + temporal sujeito 6 loss,eegnet + temporal sujeito 7 kappa,eegnet + temporal sujeito 7 acc,eegnet + temporal sujeito 7 loss,eegnet + temporal sujeito 8 kappa,eegnet + temporal sujeito 8 acc,eegnet + temporal sujeito 8 loss,eegnet + temporal sujeito 9 kappa,eegnet + temporal sujeito 9 acc,eegnet + temporal sujeito 9 loss,eegnet + spatial sujeito 1 kappa,eegnet + spatial sujeito 1 acc,eegnet + spatial sujeito 1 loss,eegnet + spatial sujeito 2 kappa,eegnet + spatial sujeito 2 acc,eegnet + spatial sujeito 2 loss,eegnet + spatial sujeito 3 kappa,eegnet + spatial sujeito 3 acc,eegnet + spatial sujeito 3 loss,eegnet + spatial sujeito 4 kappa,eegnet + spatial sujeito 4 acc,eegnet + spatial sujeito 4 loss,eegnet + spatial sujeito 5 kappa,eegnet + spatial sujeito 5 acc,eegnet + spatial sujeito 5 loss,eegnet + spatial sujeito 6 kappa,eegnet + spatial sujeito 6 acc,eegnet + spatial sujeito 6 loss,eegnet + spatial sujeito 7 kappa,eegnet + spatial sujeito 7 acc,eegnet + spatial sujeito 7 loss,eegnet + spatial sujeito 8 kappa,eegnet + spatial sujeito 8 acc,eegnet + spatial sujeito 8 loss,eegnet + spatial sujeito 9 kappa,eegnet + spatial sujeito 9 acc,eegnet + spatial sujeito 9 loss,eegnet + spatial + temporal sujeito 1 kappa,eegnet + spatial + temporal sujeito 1 acc,eegnet + spatial + temporal sujeito 1 loss
11,0.640588769029136,0.7304347826086957,tensor(0.6384),0.21089808274470234,0.40869565217391307,tensor(1.2950),0.8491727199354318,0.8869565217391304,tensor(0.5406),0.43115283666464765,0.5739130434782609,tensor(1.0088),0.3506100635272764,0.5130434782608696,tensor(1.0202),0.45475638051044076,0.591304347826087,tensor(1.0394),0.6286204460591381,0.7217391304347827,tensor(0.6655),0.7219143576826197,0.7913043478260869,tensor(0.6618),0.8377179719786312,0.8782608695652174,tensor(0.4665),0.43178380558636686,0.5739130434782609,tensor(0.8396),0.2698780610702408,0.45217391304347826,tensor(1.2462),0.6637087828980539,0.7478260869565218,tensor(0.6743),0.2706131078224102,0.45217391304347826,tensor(1.1963),0.20002016332291572,0.4,tensor(1.2866),0.2812500000000001,0.4608695652173913,tensor(1.4552),0.5358224016145308,0.6521739130434783,tensor(0.6093),0.5942540322580645,0.6956521739130435,tensor(0.7251),0.582492940701896,0.6869565217391305,tensor(0.6630),0.48935311333131504,0.6173913043478261,tensor(0.8921),0.16481742989711523,0.3739130434782609,tensor(1.4388),0.6522177419354839,0.7391304347826086,tensor(0.7282),0.33914709144066935,0.5043478260869565,tensor(1.3162),0.08527990334273061,0.3130434782608696,tensor(1.6473),0.2695099818511798,0.45217391304347826,tensor(1.3978),0.3394134838254561,0.5043478260869565,tensor(1.1417),0.4087701612903226,0.5565217391304348,tensor(1.0917),0.6170534813319879,0.7130434782608696,tensor(0.6702),0.3624634613446226,0.5217391304347826,tensor(1.2297)
12,0.594785059901339,0.6956521739130435,tensor(0.7035),0.3394800483675937,0.5043478260869565,tensor(1.1141),0.7912043574742788,0.8434782608695652,tensor(0.5192),0.4666801088819438,0.6,tensor(0.9422),0.4443885254151988,0.5826086956521739,tensor(1.0567),0.4208883069795549,0.5652173913043478,tensor(1.1580),0.5246975806451614,0.6434782608695652,tensor(0.7303),0.767958030669895,0.8260869565217391,tensor(0.6418),0.6641152180481418,0.7478260869565218,tensor(0.5926),0.571673042077713,0.6782608695652174,tensor(0.6888),0.21201128577186612,0.40869565217391307,tensor(1.4239),0.5827454142310019,0.6869565217391305,tensor(0.7015),0.19993950393224436,0.4,tensor(1.0893),0.08306419055308834,0.3130434782608696,tensor(1.4210),0.29291402076403583,0.46956521739130436,tensor(1.3862),0.4897135941912061,0.6173913043478261,tensor(0.6827),0.5708522440746343,0.6782608695652174,tensor(0.7198),0.7449339651174514,0.808695652173913,tensor(0.5562),0.44394076760350565,0.5826086956521739,tensor(0.9108),0.15364452061699763,0.3652173913043478,tensor(1.5446),0.5124659331785606,0.6347826086956522,tensor(0.8243),0.3854607783827385,0.5391304347826087,tensor(1.2790),0.09585727245237374,0.3217391304347826,tensor(1.5917),0.2113755546591367,0.40869565217391307,tensor(1.5133),0.45508619820546437,0.591304347826087,tensor(0.8815),0.5010594289173644,0.6260869565217392,tensor(0.9434),0.5246496622643412,0.6434782608695652,tensor(0.9718),0.44332392093586126,0.5826086956521739,tensor(1.0075)
13,0.6984671238402582,0.7739130434782608,tensor(0.6051),0.292414766996167,0.46956521739130436,tensor(1.1648),0.7216338880484114,0.7913043478260869,tensor(0.5831),0.3741181213465028,0.5304347826086957,tensor(1.1224),0.23611111111111116,0.4260869565217391,tensor(1.2237),0.4327561908596739,0.5739130434782609,tensor(1.0994),0.7330170586454022,0.8,tensor(0.5788),0.617362371445856,0.7130434782608696,tensor(0.7428),0.8840024208190438,0.9130434782608695,tensor(0.4412),0.6283579074934356,0.7217391304347827,tensor(0.6356),0.2239903313526036,0.41739130434782606,tensor(1.3635),0.663776590382095,0.7478260869565218,tensor(0.6090),0.17691532258064513,0.3826086956521739,tensor(1.3257),0.11975022660892343,0.3391304347826087,tensor(1.4037),0.4313824419778002,0.5739130434782609,tensor(1.0916),0.48904372412400277,0.6173913043478261,tensor(0.6662),0.5941312897045479,0.6956521739130435,tensor(0.7977),0.7563313490061547,0.8173913043478261,tensor(0.5563),0.3046457724478484,0.4782608695652174,tensor(1.1485),0.1418775839467581,0.3565217391304348,tensor(1.4209),0.6520774505849134,0.7391304347826086,tensor(0.6854),0.3043653594112311,0.4782608695652174,tensor(1.2353),0.2702457695406931,0.45217391304347826,tensor(1.2863),0.20146925631478318,0.4,tensor(1.4399),0.5477462942422103,0.6608695652173913,tensor(0.9499),0.35080645161290325,0.5130434782608696,tensor(1.0235),0.570938791973379,0.6782608695652174,tensor(0.6958),0.29291402076403583,0.46956521739130436,tensor(0.9798)
14,0.6872481869460113,0.7652173913043478,tensor(0.5736),0.37361307242283626,0.5304347826086957,tensor(1.1247),0.814516129032258,0.8608695652173913,tensor(0.4754),0.4666263359548296,0.6,tensor(0.9391),0.2005843239975822,0.4,tensor(1.3034),0.3158213169305234,0.48695652173913045,tensor(1.1510),0.6523228862239242,0.7391304347826086,tensor(0.6264),0.6174395161290323,0.7130434782608696,tensor(0.6920),0.8260211800302572,0.8695652173913043,tensor(0.4919),0.5129084308188786,0.6347826086956522,tensor(0.7022),0.21137555465913693,0.40869565217391307,tensor(1.3018),0.6174395161290323,0.7130434782608696,tensor(0.7229),0.2118524491030035,0.40869565217391307,tensor(1.1545),0.026013309134906182,0.26956521739130435,tensor(1.5187),0.4093655589123868,0.5565217391304348,tensor(1.1133),0.4891468955073195,0.6173913043478261,tensor(0.7795),0.6407336490980551,0.7304347826086957,tensor(0.7667),0.8028438886647842,0.8521739130434782,tensor(0.4806),0.4436605523080024,0.5826086956521739,tensor(0.8862),0.33881379866854944,0.5043478260869565,tensor(1.2886),0.7334206813142512,0.8,tensor(0.4850),0.37361307242283637,0.5304347826086957,tensor(1.1813),0.19977813634530062,0.4,tensor(1.3477),0.21256671030107754,0.40869565217391307,tensor(1.5472),0.6407336490980551,0.7304347826086957,tensor(0.7664),0.4898679302349027,0.6173913043478261,tensor(0.9232),0.8029432516883379,0.8521739130434782,tensor(0.5069),0.4668413626285023,0.6,tensor(0.8196)
15,0.5747126436781609,0.6810344827586207,tensor(0.6635),0.27586206896551724,0.45689655172413796,tensor(1.2016),0.7011494252873562,0.7758620689655172,tensor(0.6451),0.3563218390804598,0.5172413793103449,tensor(0.9960),0.33333333333333337,0.5,tensor(1.0477),0.3908045977011494,0.5431034482758621,tensor(1.1972),0.5172413793103448,0.6379310344827587,tensor(0.6687),0.632183908045977,0.7241379310344828,tensor(0.6904),0.8275862068965517,0.8706896551724138,tensor(0.4778),0.6551724137931034,0.7413793103448276,tensor(0.6642),0.12643678160919536,0.3448275862068966,tensor(1.5136),0.5517241379310345,0.6637931034482759,tensor(0.7990),0.4367816091954023,0.5775862068965517,tensor(1.0700),0.3793103448275862,0.5344827586206896,tensor(1.0267),0.3448275862068966,0.5086206896551724,tensor(1.1575),0.5057471264367817,0.6293103448275862,tensor(0.7094),0.632183908045977,0.7241379310344828,tensor(0.7120),0.7126436781609196,0.7844827586206896,tensor(0.5672),0.47126436781609193,0.603448275862069,tensor(1.1574),0.10344827586206895,0.3275862068965517,tensor(1.4987),0.49425287356321834,0.6206896551724138,tensor(0.7604),0.25287356321839083,0.4396551724137931,tensor(1.3928),0.16091954022988508,0.3706896551724138,tensor(1.4455),0.32183908045977017,0.49137931034482757,tensor(1.4379),0.45977011494252873,0.5948275862068966,tensor(0.9691),0.5517241379310345,0.6637931034482759,tensor(1.0054),0.7011494252873562,0.7758620689655172,tensor(0.5855),0.33333333333333337,0.5,tensor(1.0305)
16,0.6636748688987495,0.7478260869565218,tensor(0.6464),0.21320052319146798,0.40869565217391307,tensor(1.2180),0.7911832946635731,0.8434782608695652,tensor(0.5605),0.362077660110943,0.5217391304347826,tensor(0.9650),0.4667876222155025,0.6,tensor(1.0302),0.44354838709677424,0.5826086956521739,tensor(1.0642),0.5822401614530777,0.6869565217391305,tensor(0.6450),0.7334475461050086,0.8,tensor(0.6375),0.8608169440242057,0.8956521739130435,tensor(0.4317),0.6753705010585744,0.7565217391304347,tensor(0.6099),0.1881807180314643,0.391304347826087,tensor(1.3450),0.7331517352703794,0.8,tensor(0.5304),0.38583232567513104,0.5391304347826087,tensor(0.9632),0.14083796062594645,0.3565217391304348,tensor(1.3767),0.2698780610702409,0.45217391304347826,tensor(1.4056),0.5475181598062954,0.6608695652173913,tensor(0.7813),0.6059262245515017,0.7043478260869566,tensor(0.8113),0.6288826139572408,0.7217391304347827,tensor(0.6989),0.30359305611626974,0.4782608695652174,tensor(1.0571),0.17799255008557346,0.3826086956521739,tensor(1.5723),0.5365239294710327,0.6521739130434783,tensor(0.8558),0.35100272095132523,0.5130434782608696,tensor(1.2208),0.10951327433628322,0.33043478260869563,tensor(1.6275),0.26965725806451624,0.45217391304347826,tensor(1.2478),0.6520423600605143,0.7391304347826086,tensor(0.7213),0.45475638051044076,0.591304347826087,tensor(0.9498),0.6635730858468678,0.7478260869565218,tensor(0.6891),0.6171307506053268,0.7130434782608696,tensor(0.7696)
17,0.629331184528606,0.7217391304347827,tensor(0.6478),0.17683234196995679,0.3826086956521739,tensor(1.2841),0.8375706214689265,0.8782608695652174,tensor(0.5106),0.3974203950020153,0.5478260869565217,tensor(1.0347),0.3511988716502117,0.5130434782608696,tensor(0.9555),0.3038740920096853,0.4782608695652174,tensor(1.1423),0.6174780768067736,0.7130434782608696,tensor(0.6601),0.6866485013623977,0.7652173913043478,tensor(0.6676),0.8145535174360008,0.8608695652173913,tensor(0.4545),0.33981266995669257,0.5043478260869565,tensor(0.9780),0.15364452061699763,0.3652173913043478,tensor(1.3653),0.5940903590157322,0.6956521739130435,tensor(0.8401),0.35113350125944587,0.5130434782608696,tensor(1.1053),0.38595607495466455,0.5391304347826087,tensor(1.0795),0.23441597740568898,0.4260869565217391,tensor(1.3250),0.46651875756353367,0.6,tensor(0.8105),0.5472897950943777,0.6608695652173913,tensor(0.8625),0.7218583089791394,0.7913043478260869,tensor(0.4966),0.24578750882857425,0.43478260869565216,tensor(1.1923),0.119129207821004,0.3391304347826087,tensor(1.6376),0.7331517352703794,0.8,tensor(0.5606),0.4087105554995464,0.5565217391304348,tensor(1.2169),0.22297297297297303,0.41739130434782606,tensor(1.3853),0.13010590015128576,0.34782608695652173,tensor(1.5007),0.6409145850120871,0.7304347826086957,tensor(0.7465),0.5945401430442229,0.6956521739130435,tensor(0.8165),0.5712846347607052,0.6782608695652174,tensor(0.8837),0.3503480278422273,0.5130434782608696,tensor(1.2570)
18,0.6169375189260119,0.7130434782608696,tensor(0.6482),0.2466236645837533,0.43478260869565216,tensor(1.2499),0.6059262245515018,0.7043478260869566,tensor(0.6681),0.3276209677419354,0.4956521739130435,tensor(1.1626),0.3511988716502117,0.5130434782608696,tensor(1.0927),0.3972989316670026,0.5478260869565217,tensor(1.0898),0.7100937783603912,0.782608695652174,tensor(0.6188),0.7102690718532703,0.782608695652174,tensor(0.6075),0.7449082476305706,0.808695652173913,tensor(0.5436),0.5822401614530777,0.6869565217391305,tensor(0.7803),0.15424138625831163,0.3652173913043478,tensor(1.3336),0.5828295042321645,0.6869565217391305,tensor(0.7133),0.1656590084643289,0.3739130434782609,tensor(1.6765),0.2121700584323999,0.40869565217391307,tensor(1.2227),0.2931277710600564,0.46956521739130436,tensor(1.2619),0.5237854762145238,0.6434782608695652,tensor(0.5964),0.5248891575977429,0.6434782608695652,tensor(0.9208),0.7797156971468898,0.8347826086956521,tensor(0.6007),0.36194895591647325,0.5217391304347826,tensor(1.1335),0.25746569814366416,0.4434782608695652,tensor(1.3809),0.5711550090707518,0.6782608695652174,tensor(0.7720),0.3392137096774194,0.5043478260869565,tensor(1.2045),0.35113350125944587,0.5130434782608696,tensor(1.2397),0.33967966152916296,0.5043478260869565,tensor(1.1822),0.6520072624571314,0.7391304347826086,tensor(0.6298),0.5128101674399839,0.6347826086956522,tensor(0.9037),0.6869959677419355,0.7652173913043478,tensor(0.6215),0.44298688193743696,0.5826086956521739,tensor(0.8219)
19,0.5942949299465778,0.6956521739130435,tensor(0.6804),0.3506100635272764,0.5130434782608696,tensor(1.2084),0.733366935483871,0.8,tensor(0.5920),0.3623349127936284,0.5217391304347826,tensor(0.9960),0.3378119001919385,0.5043478260869565,tensor(1.1023),0.44309927360774826,0.5826086956521739,tensor(1.0101),0.6641490433031219,0.7478260869565218,tensor(0.5934),0.6520774505849134,0.7391304347826086,tensor(0.6762),0.8260562670162348,0.8695652173913043,tensor(0.4899),0.3392137096774195,0.5043478260869565,tensor(0.9116),0.19872765828536798,0.4,tensor(1.2943),0.6523579201934704,0.7391304347826086,tensor(0.6343),0.23395236172789657,0.4260869565217391,tensor(1.2960),0.14144471347861165,0.3565217391304348,tensor(1.3860),0.2000201633229156,0.4,tensor(1.5164),0.5705490512716995,0.6782608695652174,tensor(0.6619),0.513252040713494,0.6347826086956522,tensor(0.8029),0.7447795823665893,0.808695652173913,tensor(0.5025),0.5130557515878617,0.6347826086956522,tensor(0.8840),0.09649476228847709,0.3217391304347826,tensor(1.5087),0.4898679302349028,0.6173913043478261,tensor(0.8542),0.28117753805827195,0.4608695652173913,tensor(1.3646),0.11886278858755928,0.3391304347826087,tensor(1.5574),0.2231296632385562,0.41739130434782606,tensor(1.4147),0.6054490413723512,0.7043478260869566,tensor(0.6436),0.5592536560766516,0.6695652173913044,tensor(0.8772),0.67523953605648,0.7565217391304347,tensor(0.6925),0.559697732997481,0.6695652173913044,tensor(0.8174)
20,0.5977011494252873,0.6982758620689655,tensor(0.6890),0.12643678160919536,0.3448275862068966,tensor(1.3094),0.8390804597701149,0.8793103448275862,tensor(0.5084),0.3908045977011494,0.5431034482758621,tensor(1.0092),0.31034482758620685,0.4827586206896552,tensor(1.1892),0.32183908045977017,0.49137931034482757,tensor(1.1784),0.5632183908045977,0.6724137931034483,tensor(0.6195),0.7126436781609196,0.7844827586206896,tensor(0.6167),0.7816091954022988,0.8362068965517241,tensor(0.5231),0.4022988505747126,0.5517241379310345,tensor(0.8779),0.32183908045977017,0.49137931034482757,tensor(1.3259),0.6781609195402298,0.7586206896551724,tensor(0.5830),0.29885057471264365,0.47413793103448276,tensor(1.3273),0.27586206896551724,0.45689655172413796,tensor(1.2480),0.26436781609195403,0.4482758620689655,tensor(1.3656),0.5172413793103448,0.6379310344827587,tensor(0.7323),0.6206896551724138,0.7155172413793104,tensor(0.6747),0.5977011494252873,0.6982758620689655,tensor(0.6679),0.3448275862068966,0.5086206896551724,tensor(0.9590),0.29885057471264365,0.47413793103448276,tensor(1.3611),0.5287356321839081,0.646551724137931,tensor(0.9457),0.33333333333333337,0.5,tensor(1.1592),0.2068965517241379,0.4051724137931034,tensor(1.5837),0.27586206896551724,0.45689655172413796,tensor(1.5468),0.5862068965517242,0.6896551724137931,tensor(0.8471),0.6091954022988506,0.7068965517241379,tensor(0.7354),0.6091954022988506,0.7068965517241379,tensor(0.7636),0.4137931034482759,0.5603448275862069,tensor(0.9046)
21,0.6063626296184437,0.7043478260869566,tensor(0.7036),0.3040847201210286,0.4782608695652174,tensor(1.1728),0.6870590606732514,0.7652173913043478,tensor(0.6117),0.5127118644067796,0.6347826086956522,tensor(0.9366),0.43178380558636686,0.5739130434782609,tensor(1.0132),0.4081138359067513,0.5565217391304348,tensor(1.0683),0.5361968138737649,0.6521739130434783,tensor(0.6724),0.6523579201934704,0.7391304347826086,tensor(0.6679),0.8260211800302572,0.8695652173913043,tensor(0.4526),0.6405162851668851,0.7304347826086957,tensor(0.6660),0.1302813350811738,0.34782608695652173,tensor(1.5994),0.6059262245515018,0.7043478260869566,tensor(0.6642),0.2922719935431799,0.46956521739130436,tensor(1.1442),0.0853719923487366,0.3130434782608696,tensor(1.3956),0.22258097063868432,0.41739130434782606,tensor(1.3806),0.5591202582728005,0.6695652173913044,tensor(0.6851),0.6175937122128174,0.7130434782608696,tensor(0.8577),0.7217180883242589,0.7913043478260869,tensor(0.5769),0.32755318076418993,0.4956521739130435,tensor(0.8587),0.2697308739038403,0.45217391304347826,tensor(1.3565),0.431783805586367,0.5739130434782609,tensor(0.9854),0.29376824725661943,0.46956521739130436,tensor(1.2103),0.16532258064516125,0.3739130434782609,tensor(1.5474),0.2578400726026018,0.4434782608695652,tensor(1.2687),0.5246496622643413,0.6434782608695652,tensor(0.8953),0.4789044406404189,0.6086956521739131,tensor(0.9981),0.6752722872125857,0.7565217391304347,tensor(0.6177),0.4193092304584932,0.5652173913043478,tensor(1.2459)
22,0.6409869083585096,0.7304347826086957,tensor(0.7081),0.06051437216338862,0.2956521739130435,tensor(1.3515),0.7450881612090681,0.808695652173913,tensor(0.5870),0.5130557515878617,0.6347826086956522,tensor(0.9306),0.303030303030303,0.4782608695652174,tensor(1.2240),0.40865093768905025,0.5565217391304348,tensor(1.0748),0.6986190908174579,0.7739130434782608,tensor(0.6683),0.6400807672892479,0.7304347826086957,tensor(0.6793),0.814516129032258,0.8608695652173913,tensor(0.4838),0.5828295042321645,0.6869565217391305,tensor(0.7212),0.21232876712328774,0.40869565217391307,tensor(1.3344),0.6984975294948069,0.7739130434782608,tensor(0.6329),0.3282980866062438,0.4956521739130435,tensor(1.3650),0.17666633054351133,0.3826086956521739,tensor(1.3101),0.2930565353219794,0.46956521739130436,tensor(1.2435),0.5013110125050424,0.6260869565217392,tensor(0.8328),0.5474725052971445,0.6608695652173913,tensor(0.8715),0.6988619196293686,0.7739130434782608,tensor(0.6570),0.443604475355307,0.5826086956521739,tensor(0.8195),0.10780856423173801,0.33043478260869563,tensor(1.5845),0.6172851956434047,0.7130434782608696,tensor(0.8018),0.4088893368272527,0.5565217391304348,tensor(1.1335),0.18768920282542878,0.391304347826087,tensor(1.6956),0.23541855545482027,0.4260869565217391,tensor(1.3305),0.5243139628732849,0.6434782608695652,tensor(0.8349),0.5017632241813603,0.6260869565217392,tensor(1.0493),0.5249370277078085,0.6434782608695652,tensor(0.8789),0.559786441019442,0.6695652173913044,tensor(0.8757)
23,0.6288077466209401,0.7217391304347827,tensor(0.6116),0.3286361348766986,0.4956521739130435,tensor(1.1953),0.814478725549506,0.8608695652173913,tensor(0.5421),0.33914709144066946,0.5043478260869565,tensor(1.0857),0.17699828646305826,0.3826086956521739,tensor(1.3271),0.31678582217299367,0.48695652173913045,tensor(1.1058),0.6522177419354839,0.7391304347826086,tensor(0.6273),0.6755667506297229,0.7565217391304347,tensor(0.6667),0.8375378405650857,0.8782608695652174,tensor(0.4540),0.443436176648518,0.5826086956521739,tensor(0.9762),0.23472474289171208,0.4260869565217391,tensor(1.3675),0.5709820528332326,0.6782608695652174,tensor(0.7881),0.29277144873475136,0.46956521739130436,tensor(1.2974),0.29305653532197906,0.46956521739130436,tensor(1.1549),0.2582888239443717,0.4434782608695652,tensor(1.2689),0.582492940701896,0.6869565217391305,tensor(0.6270),0.6057275385701322,0.7043478260869566,tensor(0.8579),0.6056877773295685,0.7043478260869566,tensor(0.6324),0.4203044661760258,0.5652173913043478,tensor(0.9839),0.11975022660892343,0.3391304347826087,tensor(1.5494),0.5592536560766515,0.6695652173913044,tensor(0.8523),0.36259195807719435,0.5217391304347826,tensor(1.1461),0.07239362774752978,0.30434782608695654,tensor(1.6078),0.23480189535235418,0.4260869565217391,tensor(1.4949),0.6292938450690038,0.7217391304347827,tensor(0.6002),0.5594313942937796,0.6695652173913044,tensor(0.7733),0.6866168752523214,0.7652173913043478,tensor(0.6090),0.32707828894269575,0.4956521739130435,tensor(1.1597)
24,0.7103858164601592,0.782608695652174,tensor(0.6737),0.44270570418980304,0.5826086956521739,tensor(1.0580),0.663776590382095,0.7478260869565218,tensor(0.6315),0.536383793590002,0.6521739130434783,tensor(0.9043),0.15398568981154892,0.3652173913043478,tensor(1.2515),0.45508619820546437,0.591304347826087,tensor(1.0695),0.5939675174013921,0.6956521739130435,tensor(0.6532),0.6521125340324694,0.7391304347826086,tensor(0.7022),0.6751740139211136,0.7565217391304347,tensor(0.6295),0.6175937122128174,0.7130434782608696,tensor(0.6705),0.25806451612903225,0.4434782608695652,tensor(1.2989),0.5829555757026292,0.6869565217391305,tensor(0.8960),0.3849646821392534,0.5391304347826087,tensor(1.0483),0.07220653489310225,0.30434782608695654,tensor(1.6314),0.21129601613716598,0.40869565217391307,tensor(1.5191),0.4662496216325296,0.6,tensor(1.0184),0.5827454142310018,0.6869565217391305,tensor(0.7783),0.6868065362114182,0.7652173913043478,tensor(0.5960),0.339346905865753,0.5043478260869565,tensor(0.9960),0.08334174149934426,0.3130434782608696,tensor(1.6671),0.5247454893659913,0.6434782608695652,tensor(0.9303),0.3737394110528439,0.5304347826086957,tensor(1.2503),0.2699516324062877,0.45217391304347826,tensor(1.4248),0.2231296632385562,0.41739130434782606,tensor(1.3869),0.5479286362261869,0.6608695652173913,tensor(0.7450),0.47806354009077145,0.6086956521739131,tensor(0.8655),0.5707223567393058,0.6782608695652174,tensor(0.9043),0.5246017342206091,0.6434782608695652,tensor(0.9487)
